arch,cache_type_k,cache_type_v,category,ctx_size,decode_throughput_tok_s,engine,experiment_dir,goodput_sla_fraction_mean,max_tokens,max_vmhwm_kb,model,model_label,node_count,parallel_requests,prompt_id,replica_count,source,successful_runs,suite,threads,threads_batch,total_throughput_output_tok_s_mean,tpot_s_mean_across_replicas,ttft_s_mean_across_replicas
unknown,turbo2,turbo2,short,2048,7.341813350821408,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_kv_cache,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.335904381801165,0.136206132220471,0.1498120150063187
unknown,turbo2,turbo2,short,2048,7.31442058803963,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5068864.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,short_threading_definition,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,7.308621202506148,0.13671622898403965,0.1501253280439414
unknown,turbo3,turbo3,long,2048,5.719763734432898,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_concurrency_server,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.715294911102709,0.17483239630686384,0.19189712102524936
unknown,turbo3,turbo3,long,2048,5.3610334175978736,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_hpc_case_study,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.357259288366902,0.18653120062961134,0.20290987502085045
unknown,turbo3,turbo3,long,2048,5.609945846333602,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_memory_bound_reasoning,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.605769801563861,0.1782548401342507,0.1948039429844357
unknown,turbo3,turbo3,long,2048,5.695761143918797,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,long_quantisation_evaluation,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,5.6912344805851225,0.17556916007049764,0.19299241102999076
unknown,turbo3,turbo3,long,2048,6.115984377819879,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_long_transformer_cpu,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.11230125362895,0.1635059768345031,0.17568164702970535
unknown,turbo3,turbo3,medium,2048,6.991572238916278,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,mandatory_medium_ml_vs_dl,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.987219166419723,0.14302934530717284,0.15400347200920805
unknown,turbo3,turbo3,medium,2048,6.61511721394925,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_concurrency,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.61154285476996,0.15116890111807954,0.16117224498884752
unknown,turbo3,turbo3,medium,2048,6.525877549532312,tq,measurements/1258624-track-a1-server-sweep,1.0,128,5105024.0,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,,1,medium_cpu_inference_pipeline,1,measurements/readable/a1_scaling_summary_nonzero.csv,1,concurrency,24,24,6.522214064368755,0.1532360962046655,0.16374729899689555
