timestamp,cpu_percent,rss_kb
2026-05-14T20:47:09+01:00,2.0,11392
2026-05-14T20:47:10+01:00,5.0,20400
2026-05-14T20:47:11+01:00,4.3,28224
2026-05-14T20:47:12+01:00,3.7,30856
2026-05-14T20:47:13+01:00,3.4,54220
2026-05-14T20:47:14+01:00,3.1,66928
2026-05-14T20:47:15+01:00,3.0,78048
2026-05-14T20:47:16+01:00,2.7,96692
2026-05-14T20:47:17+01:00,2.7,115496
2026-05-14T20:47:18+01:00,2.7,133096
2026-05-14T20:47:19+01:00,2.6,154856
2026-05-14T20:47:20+01:00,2.6,168436
2026-05-14T20:47:21+01:00,2.6,175000
2026-05-14T20:47:22+01:00,2.6,178488
2026-05-14T20:47:23+01:00,2.5,179748
2026-05-14T20:47:24+01:00,2.5,182020
2026-05-14T20:47:25+01:00,2.4,185648
2026-05-14T20:47:27+01:00,2.3,193576
2026-05-14T20:47:28+01:00,2.3,199236
2026-05-14T20:47:29+01:00,2.2,200544
2026-05-14T20:47:30+01:00,2.1,201848
2026-05-14T20:47:31+01:00,2.1,203064
2026-05-14T20:47:32+01:00,2.0,204800
2026-05-14T20:47:33+01:00,2.1,211528
2026-05-14T20:47:34+01:00,2.0,216284
2026-05-14T20:47:35+01:00,2.0,216804
2026-05-14T20:47:36+01:00,2.0,218080
2026-05-14T20:47:37+01:00,2.0,228412
2026-05-14T20:47:38+01:00,2.2,240356
2026-05-14T20:47:39+01:00,2.1,245200
2026-05-14T20:47:40+01:00,2.2,248276
2026-05-14T20:47:41+01:00,2.3,263996
2026-05-14T20:47:42+01:00,2.5,296456
2026-05-14T20:47:43+01:00,2.6,309192
2026-05-14T20:47:44+01:00,2.6,315592
2026-05-14T20:47:46+01:00,2.6,342204
2026-05-14T20:47:47+01:00,2.5,343488
2026-05-14T20:47:48+01:00,2.5,345072
2026-05-14T20:47:49+01:00,20.8,351996
2026-05-14T20:47:50+01:00,20.4,355172
2026-05-14T20:47:51+01:00,20.1,358224
2026-05-14T20:47:52+01:00,19.7,360488
2026-05-14T20:47:53+01:00,19.4,365008
2026-05-14T20:47:54+01:00,19.1,375648
2026-05-14T20:47:55+01:00,18.8,380644
2026-05-14T20:47:56+01:00,18.6,387176
2026-05-14T20:47:57+01:00,18.4,394156
2026-05-14T20:47:58+01:00,18.2,398868
2026-05-14T20:47:59+01:00,17.9,401800
2026-05-14T20:48:00+01:00,17.7,406808
2026-05-14T20:48:01+01:00,17.6,413940
2026-05-14T20:48:02+01:00,17.3,415196
2026-05-14T20:48:03+01:00,17.2,421172
2026-05-14T20:48:05+01:00,17.4,440668
2026-05-14T20:48:06+01:00,17.2,441744
2026-05-14T20:48:07+01:00,17.1,446220
2026-05-14T20:48:08+01:00,16.8,447472
2026-05-14T20:48:09+01:00,16.6,451560
2026-05-14T20:48:10+01:00,16.3,454416
2026-05-14T20:48:11+01:00,16.1,455856
2026-05-14T20:48:12+01:00,15.9,457568
2026-05-14T20:48:13+01:00,15.7,460492
2026-05-14T20:48:14+01:00,15.5,463932
2026-05-14T20:48:15+01:00,15.3,467332
2026-05-14T20:48:16+01:00,15.1,469208
2026-05-14T20:48:17+01:00,14.9,470528
2026-05-14T20:48:18+01:00,14.7,472248
2026-05-14T20:48:19+01:00,14.6,475060
2026-05-14T20:48:20+01:00,14.4,479144
2026-05-14T20:48:21+01:00,14.4,483108
2026-05-14T20:48:23+01:00,14.3,484912
2026-05-14T20:48:24+01:00,14.0,489784
2026-05-14T20:48:25+01:00,13.9,493600
2026-05-14T20:48:26+01:00,13.9,496372
2026-05-14T20:48:27+01:00,13.8,498168
2026-05-14T20:48:28+01:00,13.8,500168
2026-05-14T20:48:29+01:00,13.7,504216
2026-05-14T20:48:30+01:00,13.7,506856
2026-05-14T20:48:31+01:00,13.7,515348
2026-05-14T20:48:32+01:00,13.7,518636
2026-05-14T20:48:33+01:00,13.6,520620
2026-05-14T20:48:34+01:00,13.5,523716
2026-05-14T20:48:35+01:00,13.4,525896
2026-05-14T20:48:36+01:00,13.2,525896
2026-05-14T20:48:37+01:00,13.1,525896
2026-05-14T20:48:38+01:00,13.0,525896
2026-05-14T20:48:39+01:00,12.8,525896
2026-05-14T20:48:40+01:00,12.7,525896
2026-05-14T20:48:42+01:00,12.4,525896
2026-05-14T20:48:43+01:00,12.3,525896
2026-05-14T20:48:44+01:00,12.1,525896
2026-05-14T20:48:45+01:00,12.0,525896
2026-05-14T20:48:46+01:00,11.9,525896
2026-05-14T20:48:47+01:00,11.8,525896
2026-05-14T20:48:48+01:00,11.7,527488
2026-05-14T20:48:49+01:00,11.6,532732
2026-05-14T20:48:50+01:00,11.5,535628
2026-05-14T20:48:51+01:00,11.4,544652
2026-05-14T20:48:52+01:00,11.4,549432
2026-05-14T20:48:53+01:00,11.3,551660
2026-05-14T20:48:54+01:00,11.2,553312
2026-05-14T20:48:55+01:00,11.1,555960
2026-05-14T20:48:56+01:00,11.0,558668
2026-05-14T20:48:57+01:00,11.0,566064
2026-05-14T20:48:58+01:00,11.0,568896
2026-05-14T20:49:00+01:00,10.9,568896
2026-05-14T20:49:01+01:00,10.7,568896
2026-05-14T20:49:02+01:00,10.6,568896
2026-05-14T20:49:03+01:00,10.5,568896
2026-05-14T20:49:04+01:00,10.4,568896
2026-05-14T20:49:05+01:00,10.3,568896
2026-05-14T20:49:06+01:00,10.2,568896
2026-05-14T20:49:07+01:00,10.2,568896
2026-05-14T20:49:08+01:00,10.1,568896
2026-05-14T20:49:09+01:00,10.0,568896
2026-05-14T20:49:10+01:00,9.9,568896
2026-05-14T20:49:11+01:00,9.8,568896
2026-05-14T20:49:12+01:00,9.7,568896
2026-05-14T20:49:13+01:00,9.7,568896
