timestamp,cpu_percent,rss_kb,vmhwm_kb
2026-05-12T19:16:08+01:00,155,4912448,4912448
2026-05-12T19:16:09+01:00,318,4925952,4925952
2026-05-12T19:16:11+01:00,532,4925952,4925952
2026-05-12T19:16:12+01:00,710,4925952,4925952
2026-05-12T19:16:13+01:00,861,4925952,4925952
2026-05-12T19:16:14+01:00,985,4925952,4925952
2026-05-12T19:16:15+01:00,1098,4925952,4925952
2026-05-12T19:16:16+01:00,1195,4925952,4925952
2026-05-12T19:16:17+01:00,1283,4925952,4925952
2026-05-12T19:16:18+01:00,1289,4925952,4925952
2026-05-12T19:16:20+01:00,1358,4925952,4925952
2026-05-12T19:16:21+01:00,1422,4925952,4925952
2026-05-12T19:16:22+01:00,1480,4925952,4925952
2026-05-12T19:16:23+01:00,1533,4925952,4925952
2026-05-12T19:16:24+01:00,1582,4925952,4925952
2026-05-12T19:16:25+01:00,1624,4925952,4925952
2026-05-12T19:16:26+01:00,1666,4925952,4925952
2026-05-12T19:16:27+01:00,1642,4925952,4925952
2026-05-12T19:16:29+01:00,1678,4925952,4925952
2026-05-12T19:16:30+01:00,1712,4925952,4925952
2026-05-12T19:16:31+01:00,1742,4925952,4925952
2026-05-12T19:16:32+01:00,1772,4925952,4925952
2026-05-12T19:16:33+01:00,1800,4925952,4925952
2026-05-12T19:16:34+01:00,1825,4925952,4925952
2026-05-12T19:16:35+01:00,1848,4929216,4929216
2026-05-12T19:16:36+01:00,1820,4929216,4929216
2026-05-12T19:16:37+01:00,1842,4929216,4929216
2026-05-12T19:16:39+01:00,1864,4929216,4929216
2026-05-12T19:16:40+01:00,1884,4929216,4929216
2026-05-12T19:16:41+01:00,1903,4929216,4929216
2026-05-12T19:16:42+01:00,1922,4929216,4929216
2026-05-12T19:16:43+01:00,1940,4929216,4929216
2026-05-12T19:16:44+01:00,1957,4929216,4929216
2026-05-12T19:16:45+01:00,1973,4929216,4929216
2026-05-12T19:16:46+01:00,1945,4929216,4929216
2026-05-12T19:16:48+01:00,1961,4929216,4929216
2026-05-12T19:16:49+01:00,1976,4929216,4929216
2026-05-12T19:16:50+01:00,1991,4929216,4929216
2026-05-12T19:16:51+01:00,2004,4929216,4929216
2026-05-12T19:16:52+01:00,2017,4929216,4929216
2026-05-12T19:16:53+01:00,2030,4929216,4929216
2026-05-12T19:16:54+01:00,2043,4929216,4929216
2026-05-12T19:16:55+01:00,2016,4933440,4933440
2026-05-12T19:16:57+01:00,2028,4933440,4933440
2026-05-12T19:16:58+01:00,2038,4933440,4933440
2026-05-12T19:16:59+01:00,2049,4933440,4933440
2026-05-12T19:17:00+01:00,2060,4933440,4933440
2026-05-12T19:17:01+01:00,2070,4933440,4933440
2026-05-12T19:17:02+01:00,2080,4933440,4933440
2026-05-12T19:17:03+01:00,2089,4933440,4933440
2026-05-12T19:17:04+01:00,2066,4933440,4933440
2026-05-12T19:17:06+01:00,2076,4933440,4933440
2026-05-12T19:17:07+01:00,2085,4933440,4933440
2026-05-12T19:17:08+01:00,2094,4933440,4933440
2026-05-12T19:17:09+01:00,2103,4933440,4933440
2026-05-12T19:17:10+01:00,2111,4933440,4933440
2026-05-12T19:17:11+01:00,2119,4933440,4933440
2026-05-12T19:17:12+01:00,2127,4933440,4933440
2026-05-12T19:17:13+01:00,2106,4933440,4933440
2026-05-12T19:17:15+01:00,2114,4933440,4933440
2026-05-12T19:17:16+01:00,2120,4952704,4952704
2026-05-12T19:17:17+01:00,2127,4952704,4952704
2026-05-12T19:17:18+01:00,2134,4952704,4952704
2026-05-12T19:17:19+01:00,2141,4952704,4952704
2026-05-12T19:17:20+01:00,2147,4952704,4952704
2026-05-12T19:17:21+01:00,2154,4952704,4952704
2026-05-12T19:17:22+01:00,2134,4952704,4952704
2026-05-12T19:17:24+01:00,2140,4952704,4952704
2026-05-12T19:17:25+01:00,2147,4952704,4952704
2026-05-12T19:17:26+01:00,2153,4952704,4952704
2026-05-12T19:17:27+01:00,2159,4952704,4952704
2026-05-12T19:17:28+01:00,2166,4952704,4952704
2026-05-12T19:17:29+01:00,2172,4952704,4952704
2026-05-12T19:17:30+01:00,2177,4952704,4952704
2026-05-12T19:17:31+01:00,2159,4952704,4952704
2026-05-12T19:17:33+01:00,2165,4952704,4952704
2026-05-12T19:17:34+01:00,2170,4952704,4952704
2026-05-12T19:17:35+01:00,2176,4952704,4952704
2026-05-12T19:17:36+01:00,2181,4952704,4952704
2026-05-12T19:17:37+01:00,2186,4952704,4952704
2026-05-12T19:17:38+01:00,2191,4952704,4952704
2026-05-12T19:17:39+01:00,2196,4952704,4952704
2026-05-12T19:17:40+01:00,2178,4952704,4952704
2026-05-12T19:17:42+01:00,2182,4956608,4956608
2026-05-12T19:17:43+01:00,2187,4956608,4956608
2026-05-12T19:17:44+01:00,2191,4956608,4956608
2026-05-12T19:17:45+01:00,2196,4956608,4956608
2026-05-12T19:17:46+01:00,2200,4956608,4956608
2026-05-12T19:17:47+01:00,2204,4956608,4956608
2026-05-12T19:17:48+01:00,2208,4956608,4956608
