experiment_dir,run_dir,engine,node_rank,node,model,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,bench_concurrency,mandatory_only,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,1.2424963484999978,0.00020848972732566987,0.15355976303937013,0.033072898934717584,6.299274389619605,1.2754869754177884,1.0,5239680,5239680
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_f16_v_f16,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,short,mandatory_short_capital_france,2,2,1.4032162694999784,1.021640201622381,0.09330110416666551,0.031149618538571195,3.757222281950268,1.5422010091933265,0.5,5239680,5239680
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,4.075619501000006,5.602628732186977,0.16297607088582672,0.003931482295605904,5.27869755479221,1.087386494008086,0.5,4984896,4984896
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,1.3091205250000257,0.00241649358411446,0.17072196894488195,0.027450398081814438,5.631984658731765,0.853400549039848,1.0,4984896,4984896
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo3_v_turbo3,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,2,1,1,short,mandatory_short_capital_france,2,2,1.4839958845000467,1.036619769463957,0.11542286191666543,0.04158757752823179,3.206497325401365,1.0153127214386994,0.5,4984896,4984896
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,4.035975640999993,5.237580053730139,0.16205830366535484,0.013745902342404942,5.417440895974142,1.536758236555414,0.5,5005504,5005504
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,1.344389635500022,0.07421050949609412,0.18201185133464545,0.015520315197135811,5.248734360325864,0.40703234768304036,1.0,5005504,5005504
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/tq/t_48_c_2048_p_1_k_turbo4_v_turbo4,tq,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,2,1,1,short,mandatory_short_capital_france,2,2,1.4202735485000062,1.0606205009680623,0.10580377266666119,0.005117867998095242,3.7702418573972065,1.9260659589266331,0.5,5005504,5005504
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_24_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,8.062740077,11.183897479712622,0.12598257039370064,0.00010633441709569274,5.965230038892203,2.775844468505806,0.5,5245696,5245696
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_24_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,2.343599594000011,0.0002084055815841128,0.12233000537007835,0.0005014375023707486,7.1588917463151605,0.02542077462711759,0.0,5245696,5245696
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_24_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,2,1,1,short,mandatory_short_capital_france,2,2,2.6059538219999467,1.983770597767703,0.12024316508332808,2.2899653173803766e-06,2.4326081369084367,1.4000723334556022,0.5,5245696,5245696
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_48_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,long,mandatory_long_transformer_cpu,2,2,4.524035432500057,6.249683360530715,0.12902739967716487,0.01674561128019312,6.242515889215209,1.2308255746178278,0.5,5242624,5242624
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_48_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,medium,mandatory_medium_ml_vs_dl,2,2,1.2437763869999685,0.007617890456369142,0.1336875349409452,0.015190069148469069,7.063520036237123,0.7448343889559492,1.0,5242624,5242624
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory/vanilla/t_48_c_2048_p_1_k_f16_v_f16,vanilla,,cna0093,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,2,1,1,short,mandatory_short_capital_france,2,2,1.4493789184999741,1.0423285267653875,0.1927082397499949,0.1720027544909762,3.7366411979907372,2.895163999929027,0.5,5242624,5242624
