experiment_dir,engine,replica_count,model,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,2,5.631984658731765,1.3091205250000257,0.17072196894488195,1.0,4984896.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo3,turbo3,128,short,mandatory_short_capital_france,2,3.206497325401365,1.4839958845000467,0.11542286191666543,0.5,4984896.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,long,mandatory_long_transformer_cpu,2,5.417440895974142,4.035975640999993,0.16205830366535484,0.5,5005504.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,medium,mandatory_medium_ml_vs_dl,2,5.248734360325864,1.344389635500022,0.18201185133464545,1.0,5005504.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,tq,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,turbo4,turbo4,128,short,mandatory_short_capital_france,2,3.7702418573972065,1.4202735485000062,0.10580377266666119,0.5,5005504.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,long,mandatory_long_transformer_cpu,2,5.965230038892203,8.062740077,0.12598257039370064,0.5,5245696.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,medium,mandatory_medium_ml_vs_dl,2,7.1588917463151605,2.343599594000011,0.12233000537007835,0.0,5245696.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,24,24,2048,1,f16,f16,128,short,mandatory_short_capital_france,2,2.4326081369084367,2.6059538219999467,0.12024316508332808,0.5,5245696.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,long,mandatory_long_transformer_cpu,2,6.242515889215209,4.524035432500057,0.12902739967716487,0.5,5242624.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,medium,mandatory_medium_ml_vs_dl,2,7.063520036237123,1.2437763869999685,0.1336875349409452,1.0,5242624.0
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1249692-tq-vs-vanilla-mandatory,vanilla,1,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,48,48,2048,1,f16,f16,128,short,mandatory_short_capital_france,2,3.7366411979907372,1.4493789184999741,0.1927082397499949,0.5,5242624.0
