Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
arm_server,arm,tq,model-1-mandatory,24,2048,1,turbo3/turbo3,128,0.525,145.3,5.461,1.000,4.83,9
arm_server,arm,tq,model-1-mandatory,24,2048,1,turbo4/turbo4,128,0.519,140.0,5.686,1.000,4.87,9
arm_server,arm,vanilla,model-1-mandatory,24,2048,1,f16/f16,128,0.555,130.4,6.130,1.000,5.25,9
x86_server,x86,tq,model-1-mandatory,32,2048,1,turbo3/turbo3,128,0.191,158.9,5.924,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,32,2048,1,turbo4/turbo4,128,0.160,130.6,7.186,1.000,8.03,9
x86_server,x86,vanilla,model-1-mandatory,32,2048,1,f16/f16,128,0.165,122.7,7.520,1.000,8.42,9
