sweep_id,sweep_name,arch,engine,model_label,threads,cache_type_k,cache_type_v,mandatory_prompt_rows,successful_runs,ttft_s_mean,tpot_s_mean,throughput_tok_s_mean,goodput_fraction_mean,max_vmhwm_gib
x86_server,x86 server sweep,x86,tq,model-1-mandatory,32,turbo3,turbo3,3,9,0.18559517633467396,0.15041415896687085,6.213544614793903,1.0,7.984523773193359
x86_server,x86 server sweep,x86,tq,model-1-mandatory,32,turbo4,turbo4,3,9,0.1531923027796438,0.13094032263665625,7.16845171969226,1.0,8.038890838623047
x86_server,x86 server sweep,x86,tq,model-1-mandatory,48,turbo3,turbo3,3,9,0.140977084546143,0.11765592515759686,8.002224683178907,1.0,7.991413116455078
x86_server,x86 server sweep,x86,tq,model-1-mandatory,48,turbo4,turbo4,3,9,0.1608717842156895,0.13483453029652945,6.974656325247278,1.0,8.031200408935547
x86_server,x86 server sweep,x86,tq,model-1-mandatory,64,turbo3,turbo3,3,9,0.1380377840056705,0.11871976162815438,7.962083671837086,1.0,7.9906768798828125
x86_server,x86 server sweep,x86,tq,model-1-mandatory,64,turbo4,turbo4,3,9,0.13078385344447777,0.11267075617889338,8.39055607398926,1.0,8.031047821044922
x86_server,x86 server sweep,x86,tq,model-1-mandatory,8,turbo3,turbo3,3,9,0.22442052789200617,0.10814422439328641,8.000247448774537,1.0,7.983455657958984
x86_server,x86 server sweep,x86,tq,model-1-mandatory,8,turbo4,turbo4,3,9,0.22388606011130227,0.10847386401465103,7.9969717802317675,1.0,8.022663116455078
x86_server,x86 server sweep,x86,tq,model-1-mandatory,96,turbo3,turbo3,3,9,0.1586294796692932,0.136493482356247,6.916162993551581,1.0,8.001224517822266
x86_server,x86 server sweep,x86,tq,model-1-mandatory,96,turbo4,turbo4,3,9,0.16037106299578832,0.1393496261891152,6.788471201586407,1.0,8.031658172607422
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,128,f16,f16,3,9,3.192850632783827,0.6130316833480102,1.3122509809801721,0.0,8.404197692871094
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,16,f16,f16,3,9,0.17063362866368456,0.09311383271001483,9.641701834414338,1.0,8.42245101928711
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,24,f16,f16,3,9,0.16375011399999392,0.10225527718474658,8.96076709236389,1.0,8.413036346435547
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,32,f16,f16,3,9,0.16785276244440359,0.11182328843540625,8.260138814116926,1.0,8.415935516357422
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,48,f16,f16,3,9,0.20530866733558165,0.15554414049644474,6.012477106517621,1.0,8.425769805908203
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,64,f16,f16,3,9,0.1766931981126416,0.13166815721658098,7.085995491631725,1.0,8.414875030517578
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,8,f16,f16,3,9,0.2322179215536582,0.10264764451326397,8.48729687924907,1.0,8.413459777832031
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,96,f16,f16,3,9,0.15901526978187677,0.11585058776751077,8.029835094716674,1.0,8.409248352050781
