sweep_id,sweep_name,arch,engine,model_label,cache_type_k,cache_type_v,max_tokens,mandatory_prompt_rows,successful_runs,ttft_s_mean,tpot_s_mean,throughput_tok_s_mean,goodput_fraction_mean,max_vmhwm_gib
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo3,turbo3,128,3,9,0.5265139785543498,0.14601306123451407,5.437501862583293,1.0,4.82904052734375
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo4,turbo4,128,3,9,0.5192058746664164,0.14048717648146233,5.668411108079191,1.0,4.86767578125
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo3,turbo3,256,3,9,1.299162531766342,0.15297110610221024,5.0371214341277755,0.6666666666666666,4.84832763671875
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo4,turbo4,256,3,9,1.280264786114761,0.14577183008534086,5.299748613511556,0.6666666666666666,4.9024658203125
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo3,turbo3,512,3,9,1.2987993722199462,0.1620504826001101,4.776470892674375,0.6666666666666666,4.88580322265625
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo4,turbo4,512,3,9,1.280085245554801,0.15374692416456917,5.0485636001835745,0.6666666666666666,4.95074462890625
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo3,turbo3,64,3,9,0.5262971585551794,0.14237406364112057,5.593986176262526,1.0,4.81121826171875
arm_server,ARM server sweep,arm,tq,model-1-mandatory,turbo4,turbo4,64,3,9,0.518575511892171,0.13818488284534647,5.777145769406698,1.0,4.849365234375
arm_server,ARM server sweep,arm,vanilla,model-1-mandatory,f16,f16,128,3,9,0.5522768043285599,0.1303883640604429,6.1355847480009595,1.0,5.2535400390625
arm_server,ARM server sweep,arm,vanilla,model-1-mandatory,f16,f16,256,3,9,1.308791329220791,0.13148201642242086,5.921747299707518,0.6666666666666666,5.3507080078125
arm_server,ARM server sweep,arm,vanilla,model-1-mandatory,f16,f16,512,3,9,1.304034665327183,0.13338901321449895,5.8921094705333,0.6666666666666666,5.5546875
arm_server,ARM server sweep,arm,vanilla,model-1-mandatory,f16,f16,64,3,9,0.5373921758922128,0.12969750391719867,6.171828304804961,1.0,5.19000244140625
blas_server,ARM BLAS sweep,arm,vanilla-blis,model-1-mandatory,f16,f16,128,3,9,0.5436529190014375,0.13033890894960673,6.14442055532432,1.0,5.50836181640625
blas_server,ARM BLAS sweep,arm,vanilla-blis,model-1-mandatory,f16,f16,256,3,9,1.311315884778095,0.1315288992470951,5.919544944617556,0.6666666666666666,5.62689208984375
blas_server,ARM BLAS sweep,arm,vanilla-blis,model-1-mandatory,f16,f16,512,3,9,1.2983792615575818,0.13295552714564143,5.915219472797745,0.6666666666666666,5.8359375
blas_server,ARM BLAS sweep,arm,vanilla-blis,model-1-mandatory,f16,f16,64,3,9,0.5439517816703301,0.12945082552949802,6.176788903732507,1.0,5.44769287109375
blas_server,ARM BLAS sweep,arm,vanilla-openblas-fujitsu,model-1-mandatory,f16,f16,128,3,9,0.5526190547777029,0.1294823732456353,6.175729953955957,1.0,5.4752197265625
blas_server,ARM BLAS sweep,arm,vanilla-openblas-fujitsu,model-1-mandatory,f16,f16,256,3,9,1.3039400924430486,0.1313166857026033,5.932249549793348,0.6666666666666666,5.5919189453125
blas_server,ARM BLAS sweep,arm,vanilla-openblas-fujitsu,model-1-mandatory,f16,f16,512,3,9,1.3033640760016472,0.13306316282703198,5.907891404528674,0.6666666666666666,5.8079833984375
blas_server,ARM BLAS sweep,arm,vanilla-openblas-fujitsu,model-1-mandatory,f16,f16,64,3,9,0.5457124151127776,0.12994987977594932,6.155027992833929,1.0,5.4134521484375
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo3,turbo3,128,3,9,0.14556565522151585,0.11380298708139425,8.212379624809001,1.0,7.988201141357422
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo4,turbo4,128,3,9,0.18304417444030854,0.1491486824871262,6.295912271878088,1.0,8.032470703125
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo3,turbo3,256,3,9,0.21901377700204547,0.12282587947911829,7.6169465367591975,1.0,8.020671844482422
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo4,turbo4,256,3,9,0.21744192444344257,0.12511897438907948,7.453727159418025,1.0,8.073867797851562
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo3,turbo3,512,3,9,0.1959226611070335,0.11156659457751657,8.36987461324742,1.0,8.071502685546875
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo4,turbo4,512,3,9,0.19752854489100477,0.10808110775354884,8.57609727877945,1.0,8.13772201538086
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo3,turbo3,64,3,9,0.1311459786633754,0.10120198643589566,9.241985091490973,1.0,7.971927642822266
x86_server,x86 server sweep,x86,tq,model-1-mandatory,turbo4,turbo4,64,3,9,0.1570991144431496,0.1285457885223332,7.296295052301777,1.0,8.015155792236328
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,f16,f16,128,3,9,0.1531847057777769,0.10155920052625288,9.071055109560845,1.0,8.415111541748047
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,f16,f16,256,3,9,0.22252894866849401,0.10891084759599506,8.462672770298896,1.0,8.518535614013672
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,f16,f16,512,3,9,0.2625173410019164,0.1269252596448336,7.242190229952302,1.0,8.720813751220703
x86_server,x86 server sweep,x86,vanilla,model-1-mandatory,f16,f16,64,3,9,0.16228915799810137,0.1174719087412824,7.923033040803522,1.0,8.34103012084961
