sweep_id,arch,engine,model_label,model_file,cache_type_k,cache_type_v,model_gib,calibrated_bw_gb_s,tpot_pred_s,tpot_observed_s,observed_over_predicted,throughput_tok_s_mean,max_vmhwm_gib
arm_server,arm,tq,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,turbo3,turbo3,4.5827955305576324,41.792915562259594,0.11774098949065885,0.14531513417819367,1.2341932474562942,5.460793977214713,4.8302001953125
arm_server,arm,tq,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,turbo4,turbo4,4.5827955305576324,41.792915562259594,0.11774098949065885,0.14001727101561703,1.1891973357904004,5.685801162020474,4.8668212890625
arm_server,arm,tq,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,turbo3,turbo3,4.968875825405121,41.792915562259594,0.12766014814285762,0.16438530544271795,1.2876791060806476,0.2544435908323789,5.17877197265625
arm_server,arm,tq,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,turbo4,turbo4,4.968875825405121,41.792915562259594,0.12766014814285762,0.12876215174091393,1.0086323227262992,1.1582200267701088,5.193115234375
arm_server,arm,vanilla,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,f16,f16,4.5827955305576324,41.792915562259594,0.11774098949065885,0.13044680718434135,1.1079132912730492,6.130283533804538,5.25
arm_server,arm,vanilla,model-2,SmolLM2-360M-Instruct.Q4_K_M.gguf,f16,f16,0.2520071268081665,41.792915562259594,0.006474556473498402,0.019658355266250375,3.0362474011487555,40.51731861304784,0.468505859375
arm_server,arm,vanilla,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,f16,f16,4.968875825405121,41.792915562259594,0.12766014814285762,0.12766014814285762,1.0,3.545112367795546,5.406005859375
blas_server,arm,vanilla-blis,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,f16,f16,4.5827955305576324,41.75076386881392,0.11785986113838715,0.13039095464466247,1.1063219775183828,6.1423264957020365,5.51202392578125
blas_server,arm,vanilla-blis,model-2,SmolLM2-360M-Instruct.Q4_K_M.gguf,f16,f16,0.2520071268081665,41.75076386881392,0.006481093204671158,0.021093399937603716,3.2546052450535568,38.11988895708953,0.5078125
blas_server,arm,vanilla-blis,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,f16,f16,4.968875825405121,41.75076386881392,0.1277890342022039,0.1277890342022039,1.0,3.5397547950669725,5.57232666015625
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,f16,f16,4.5827955305576324,41.75076386881392,0.11785986113838715,0.1305771633325102,1.1079018935818261,6.125165592060079,5.472900390625
blas_server,arm,vanilla-openblas-fujitsu,model-2,SmolLM2-360M-Instruct.Q4_K_M.gguf,f16,f16,0.2520071268081665,41.75076386881392,0.006481093204671158,0.019600016026032355,3.024183638017413,40.678813134580366,0.49847412109375
blas_server,arm,vanilla-openblas-fujitsu,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,f16,f16,4.968875825405121,41.75076386881392,0.1277890342022039,0.12849910233342918,1.0055565654413017,3.5259236148567195,5.5400390625
x86_server,x86,tq,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,turbo3,turbo3,4.5827955305576324,56.83308561144219,0.08658229936066164,0.15887907308107527,1.8350063956982576,5.92390539463802,7.9929656982421875
x86_server,x86,tq,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,turbo4,turbo4,4.5827955305576324,56.83308561144219,0.08658229936066164,0.13064513762074095,1.5089127753068095,7.186217529208657,8.033462524414062
x86_server,x86,tq,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,turbo3,turbo3,4.968875825405121,56.83308561144219,0.09387647590483539,0.09387647590483539,1.0,2.940418179948099,7.024688720703125
x86_server,x86,tq,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,turbo4,turbo4,4.968875825405121,56.83308561144219,0.09387647590483539,0.12055190704025638,1.2841545858886145,2.0590898077133324,7.041419982910156
x86_server,x86,vanilla,model-1-mandatory,Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,f16,f16,4.5827955305576324,56.83308561144219,0.08658229936066164,0.12270170680034498,1.4171684940963125,7.519746390814588,8.416015625
x86_server,x86,vanilla,model-2,SmolLM2-360M-Instruct.Q4_K_M.gguf,f16,f16,0.2520071268081665,56.83308561144219,0.0047611455385333165,0.015497721900089816,3.2550405726231864,56.24826715760181,0.4965934753417969
x86_server,x86,vanilla,model-3,gemma-4-E4B-it-OBLITERATED-Q4_K_M.gguf,f16,f16,4.968875825405121,56.83308561144219,0.09387647590483539,0.12895588630652943,1.3736762598252494,4.689699267322947,7.241916656494141
