experiment_dir,suite,engine,node_count,replica_count,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,category,prompt_id,successful_runs,total_throughput_output_tok_s_mean,ttft_s_mean_across_replicas,tpot_s_mean_across_replicas,goodput_sla_fraction_mean,max_vmhwm_kb
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,long,long_memory_bound_reasoning,1,5.605769801563861,0.1948039429844357,0.1782548401342507,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,long,long_quantisation_evaluation,1,5.6912344805851225,0.19299241102999076,0.17556916007049764,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,long,mandatory_long_transformer_cpu,1,6.11230125362895,0.17568164702970535,0.1635059768345031,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,medium,mandatory_medium_ml_vs_dl,1,6.987219166419723,0.15400347200920805,0.14302934530717284,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,medium,medium_concurrency,1,6.61154285476996,0.16117224498884752,0.15116890111807954,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,medium,medium_cpu_inference_pipeline,1,6.522214064368755,0.16374729899689555,0.1532360962046655,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,medium,medium_quant_tradeoff,1,6.615896911925909,0.16157372598536313,0.15106553273224163,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,medium,medium_thread_scaling,1,6.587927121091504,0.16209370602155104,0.15170819855131956,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,short,mandatory_short_capital_france,1,3.2275972654174967,1.2499203869956546,0.13115660532882126,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,short,short_batching,1,6.9468034084612835,0.1545365889905952,0.14386410605507044,1.0,5105024.0
measurements/1258624-track-a1-server-sweep,concurrency,tq,,1,llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,1,turbo3,turbo3,128,short,short_cpu_quantisation,1,5.8038141067726885,3.6534037759993225,0.14488681543281112,0.0,5105024.0
